country,country_code,year,population,gdp_per_capita,households_expenditure_per_capita,cost_healthy_diet,Yearly_cost_healthy_diet,percentage,category
Benin                           ,BEN,2017,11175192.0,1136.6,825.5,3.55,1278.0,112.44061235263065,Very Expensive
Benin                           ,BEN,2018,11485035.0,1241.8,874.9,3.67,1321.2,106.39394427444033,Very Expensive
Benin                           ,BEN,2019,11801151.0,1219.5,834.7,3.664,1319.0,108.1590815908159,Very Expensive
Benin                           ,BEN,2020,12123198.0,1291.0,878.6,3.707,1334.5,103.36948102246322,Very Expensive
Bermuda                         ,BMU,2017,63873.0,111820.6,54999.0,4.072,1465.9,1.3109391292838708,Very Cheap
Bermuda                         ,BMU,2018,63918.0,113050.7,55111.7,3.842,1383.1,1.2234333798906154,Very Cheap
Bermuda                         ,BMU,2019,63911.0,116153.2,55748.3,3.788,1363.7,1.1740528887710369,Very Cheap
Bermuda                         ,BMU,2020,63893.0,107706.0,50099.1,3.616,1301.8,1.2086606131506137,Very Cheap
Bhutan                          ,BTN,2017,745563.0,3286.6,1718.5,4.383,1577.9,48.01010162477941,Expensive
Bhutan                          ,BTN,2018,754396.0,3243.5,1876.2,4.587,1651.3,50.91105287498073,Very Expensive
Bhutan                          ,BTN,2019,763094.0,3322.9,1931.0,4.712,1696.3,51.04878268981913,Very Expensive
Bhutan                          ,BTN,2020,771612.0,3000.8,1860.5,5.029,1810.4,60.33057851239669,Very Expensive
Bolivia                         ,BOL,2017,11192853.0,3351.1,2267.2,3.551,1278.4,38.14866760168304,Expensive
Bolivia                         ,BOL,2018,11353140.0,3548.6,2377.9,3.648,1313.3,37.008961280504984,Expensive
Bolivia                         ,BOL,2019,11513102.0,3552.1,2431.2,3.769,1356.8,38.197122828749194,Expensive
Bolivia                         ,BOL,2020,11673029.0,3138.0,2179.1,3.755,1351.8,43.07839388145315,Expensive
Bosnia and Herzegovina          ,BIH,2017,3351534.0,5394.3,4080.6,3.847,1384.9,25.6733959920657,Medium
Bosnia and Herzegovina          ,BIH,2018,3323929.0,6070.4,4525.5,3.89,1400.4,23.069319978914077,Medium
Bosnia and Herzegovina          ,BIH,2019,3300998.0,6119.8,4498.8,3.895,1402.2,22.912513480832708,Medium
Bosnia and Herzegovina          ,BIH,2020,3280815.0,6082.4,4451.3,3.995,1438.2,23.645271603314484,Medium
Botswana                        ,BWA,2017,2205076.0,7296.1,3060.3,3.622,1303.9,17.871191458450404,Cheap
Botswana                        ,BWA,2018,2254067.0,7503.9,3245.3,3.575,1287.0,17.151081437652422,Cheap
Botswana                        ,BWA,2019,2303703.0,7247.4,3186.9,3.591,1292.8,17.838121257278473,Cheap
Botswana                        ,BWA,2020,2351625.0,6348.8,2914.4,3.701,1332.4,20.986643145161292,Medium
Brazil                          ,BRA,2017,207833825.0,9928.7,6403.4,2.809,1011.2,10.184616314321108,Cheap
Brazil                          ,BRA,2018,209469320.0,9151.4,5913.3,2.8,1008.0,11.01470813208908,Cheap
Brazil                          ,BRA,2019,211049519.0,8876.1,5782.2,2.882,1037.5,11.688692105767172,Cheap
Brazil                          ,BRA,2020,212559409.0,6814.9,4285.9,3.084,1110.2,16.29077462618674,Cheap
British Virgin Islands          ,VGB,2017,29567.0,6826.299999999999,3972.85,3.235,1164.6,17.06048664723203,Cheap
British Virgin Islands          ,VGB,2018,29795.0,6826.299999999999,3972.85,3.153,1135.1,16.628334529686654,Cheap
British Virgin Islands          ,VGB,2019,30033.0,6826.299999999999,3972.85,3.313,1192.7,17.472129850724407,Cheap
British Virgin Islands          ,VGB,2020,30237.0,6826.299999999999,3972.85,3.337,1201.3,17.598113179907124,Cheap
Bulgaria                        ,BGR,2017,7075947.0,8366.3,5045.3,3.78,1360.8,16.265254652594336,Cheap
Bulgaria                        ,BGR,2018,7025037.0,9446.7,5652.1,3.859,1389.2,14.705664411911037,Cheap
Bulgaria                        ,BGR,2019,6975761.0,9879.3,5835.7,3.896,1402.6,14.19736216128673,Cheap
Bulgaria                        ,BGR,2020,6934015.0,10079.2,5916.7,4.108,1478.9,14.672791491388203,Cheap
Burkina Faso                    ,BFA,2017,19193236.0,735.0,489.2,3.173,1142.3,155.41496598639455,Very Expensive
Burkina Faso                    ,BFA,2018,19751466.0,804.5,517.1,3.296,1186.6,147.49533871970166,Very Expensive
Burkina Faso                    ,BFA,2019,20321383.0,796.1,485.5,3.24,1166.4,146.51425700288908,Very Expensive
Burkina Faso                    ,BFA,2020,20903278.0,857.9,3972.85,3.345,1204.2,140.36601002447838,Very Expensive
Burundi                         ,BDI,2017,10827010.0,250.5,191.1,2.988,1075.7,429.4211576846307,Very Expensive
Burundi                         ,BDI,2018,11175379.0,238.0,185.5,2.804,1009.4,424.11764705882354,Very Expensive
Burundi                         ,BDI,2019,11530577.0,223.9,173.1,2.783,1001.9,447.4765520321572,Very Expensive
Burundi                         ,BDI,2020,11890781.0,233.8,175.1,2.943,1059.5,453.16509837467913,Very Expensive
Cambodia                        ,KHM,2017,16009413.0,1385.3,1016.7,3.618,1302.5,94.02295531653793,Very Expensive
Cambodia                        ,KHM,2018,16249795.0,1512.1,1068.8,3.706,1334.2,88.23490509886913,Very Expensive
Cambodia                        ,KHM,2019,16486542.0,1643.1,1141.4,3.778,1360.1,82.7764591321283,Very Expensive
Cambodia                        ,KHM,2020,16718971.0,1547.5,1075.6,3.888,1399.7,90.44911147011308,Very Expensive
Cameroon                        ,CMR,2017,24566070.0,1469.4,1048.8,2.616,941.8,64.09418810398802,Very Expensive
Cameroon                        ,CMR,2018,25216261.0,1585.2,1135.9,2.684,966.2,60.95129952056523,Very Expensive
Cameroon                        ,CMR,2019,25876387.0,1533.1,1113.8,2.744,987.8,64.43154393059814,Very Expensive
Cameroon                        ,CMR,2020,26545864.0,1537.1,1123.8,2.808,1010.9,65.76670353262638,Very Expensive
Canada                          ,CAN,2017,36545236.0,45129.4,26164.3,2.863,1030.7,2.283877029165023,Very Cheap
Canada                          ,CAN,2018,37065084.0,46548.6,26917.3,2.911,1048.0,2.251410353909677,Very Cheap
Canada                          ,CAN,2019,37601230.0,46328.7,26753.5,2.918,1050.5,2.267492936343994,Very Cheap
Canada                          ,CAN,2020,38037204.0,43258.3,24724.3,3.008,1082.9,2.5033346201769375,Very Cheap
Cayman Islands                  ,CYM,2017,63382.0,81513.2,3972.85,2.928,1054.1,1.2931647880343307,Very Cheap
Cayman Islands                  ,CYM,2018,64172.0,86180.5,3972.85,2.874,1034.6,1.2005035942005442,Very Cheap
Cayman Islands                  ,CYM,2019,64948.0,91513.0,3972.85,2.714,977.0,1.06760788084753,Very Cheap
Cayman Islands                  ,CYM,2020,65720.0,85346.8,3972.85,2.765,995.4,1.1663003182310292,Very Cheap
Central African Republic        ,CAF,2017,4596023.0,450.9,374.0,3.423,1232.3,273.29784874695054,Very Expensive
Central African Republic        ,CAF,2018,4666375.0,476.0,446.0,3.507,1262.5,265.2310924369748,Very Expensive
Central African Republic        ,CAF,2019,4745179.0,468.1,449.8,3.57,1285.2,274.5567186498612,Very Expensive
Central African Republic        ,CAF,2020,4829764.0,481.7,439.4,3.615,1301.4,270.168154452979,Very Expensive
Chad                            ,TCD,2017,15016761.0,665.9,533.8,2.831,1019.2,153.05601441657907,Very Expensive
Chad                            ,TCD,2018,15477727.0,726.2,561.7,2.728,982.1,135.23822638391627,Very Expensive
Chad                            ,TCD,2019,15946882.0,709.5,539.9,2.659,957.2,134.91190979563072,Very Expensive
Chad                            ,TCD,2020,16425859.0,652.3,587.2,2.821,1015.6,155.69523225509735,Very Expensive
Chile                           ,CHL,2017,18470435.0,14962.6,9288.5,3.053,1099.1,7.345648483552323,Very Cheap
Chile                           ,CHL,2018,18729166.0,15772.3,9788.2,3.18,1144.8,7.258294605098812,Very Cheap
Chile                           ,CHL,2019,18952035.0,14699.5,9051.9,3.213,1156.7,7.8689751352086805,Very Cheap
Chile                           ,CHL,2020,19116209.0,13220.6,7637.1,3.402,1224.7,9.26357351406139,Very Cheap
China                           ,CHN,2017,1396215000.0,8817.0,3398.3,2.571,925.6,10.497901780651016,Cheap
China                           ,CHN,2018,1402760000.0,9905.3,3815.7,2.63,946.8,9.558519176602426,Very Cheap
China                           ,CHN,2019,1407745000.0,10143.8,3981.3,2.792,1005.1,9.908515546442162,Very Cheap
China                           ,CHN,2020,1411100000.0,10408.7,3976.1,2.983,1073.9,10.317330694515165,Cheap
Colombia                        ,COL,2017,48909844.0,6376.7,4368.8,2.863,1030.7,16.163532861825082,Cheap
Colombia                        ,COL,2018,49661056.0,6729.6,4584.1,2.893,1041.5,15.476402757964811,Cheap
Colombia                        ,COL,2019,50339443.0,6418.6,4407.6,2.93,1054.8,16.43349016919577,Cheap
Colombia                        ,COL,2020,50882884.0,5312.2,3745.7,3.065,1103.4,20.771055306652613,Medium
Costa Rica                      ,CRI,2017,4949955.0,12225.6,7961.7,3.961,1426.0,11.664049208218819,Cheap
Costa Rica                      ,CRI,2018,4999443.0,12485.4,8103.4,4.0,1440.0,11.53347109423807,Cheap
Costa Rica                      ,CRI,2019,5047561.0,12762.1,8205.4,4.041,1454.8,11.399377845338933,Cheap
Costa Rica                      ,CRI,2020,5094114.0,12201.9,7757.8,4.11,1479.6,12.125980380104737,Cheap
Croatia                         ,HRV,2017,4124531.0,13629.3,7786.8,4.168,1500.5,11.009369520078067,Cheap
Croatia                         ,HRV,2018,4087843.0,15227.6,8687.6,4.202,1512.7,9.933935748246604,Very Cheap
Croatia                         ,HRV,2019,4065253.0,15311.8,8716.0,4.111,1480.0,9.665747985214018,Very Cheap
Croatia                         ,HRV,2020,4047680.0,14132.5,8323.9,4.277,1539.7,10.894746152485405,Cheap
Curacao                         ,CUW,2017,160175.0,18788.8,3972.85,2.866,1031.8,5.491569445627182,Very Cheap
Curacao                         ,CUW,2018,159336.0,18956.1,3972.85,2.988,1075.7,5.674690469031077,Very Cheap
Curacao                         ,CUW,2019,157441.0,19024.2,3972.85,3.144,1131.8,5.949264620851336,Very Cheap
Curacao                         ,CUW,2020,154947.0,16109.9,3972.85,3.328,1198.1,7.437041819005705,Very Cheap
Cyprus                          ,CYP,2017,1179685.0,26608.9,12591.9,2.846,1024.6,3.8505913434978516,Very Cheap
Cyprus                          ,CYP,2018,1189262.0,29334.1,13902.5,2.868,1032.5,3.51979436901081,Very Cheap
Cyprus                          ,CYP,2019,1198574.0,29206.1,13609.9,2.836,1021.0,3.4958450460691433,Very Cheap
Cyprus                          ,CYP,2020,1207361.0,27681.6,12984.5,2.969,1068.8,3.8610484943066874,Very Cheap
Denmark                         ,DNK,2017,5764980.0,57610.1,26707.7,2.376,855.4,1.484809087295457,Very Cheap
Denmark                         ,DNK,2018,5793636.0,61591.9,28936.3,2.44,878.4,1.4261615569579766,Very Cheap
Denmark                         ,DNK,2019,5814422.0,59775.7,27847.5,2.432,875.5,1.4646419866266727,Very Cheap
Denmark                         ,DNK,2020,5831404.0,61063.3,28065.9,2.544,915.8,1.4997551720919111,Very Cheap
Djibouti                        ,DJI,2017,944100.0,2926.2,1825.0,2.797,1006.9,34.40981477684369,Expensive
Djibouti                        ,DJI,2018,958923.0,3038.3,1997.8,2.866,1031.8,33.959780140209986,Expensive
Djibouti                        ,DJI,2019,973557.0,3172.8,2066.1,2.985,1074.6,33.86913767019667,Expensive
Djibouti                        ,DJI,2020,988002.0,3219.7,1773.3,3.112,1120.3,34.795167251607296,Expensive
Dominica                        ,DMA,2017,71460.0,7298.5,5812.6,4.0,1440.0,19.730081523600738,Cheap
