country,year,population,gdp_per_capita,households_expenditure_per_capita,cost_healthy_diet,Yearly_cost_healthy_diet
British Virgin Islands          ,2018,29795.0,6947.0,4079.8,3.153,1135.1
British Virgin Islands          ,2019,30033.0,6947.0,4079.8,3.313,1192.7
British Virgin Islands          ,2020,30237.0,6947.0,4079.8,3.337,1201.3
Bulgaria                        ,2017,7075947.0,8366.3,5045.3,3.78,1360.8
Bulgaria                        ,2018,7025037.0,9446.7,5652.1,3.859,1389.2
Bulgaria                        ,2019,6975761.0,9879.3,5835.7,3.896,1402.6
Bulgaria                        ,2020,6934015.0,10079.2,5916.7,4.108,1478.9
Burkina Faso                    ,2017,19193236.0,735.0,489.2,3.173,1142.3
Burkina Faso                    ,2018,19751466.0,804.5,517.1,3.296,1186.6
Burkina Faso                    ,2019,20321383.0,796.1,485.5,3.24,1166.4
Burkina Faso                    ,2020,20903278.0,857.9,489.2,3.345,1204.2
Burundi                         ,2017,10827010.0,250.5,191.1,2.988,1075.7
Burundi                         ,2018,11175379.0,238.0,185.5,2.804,1009.4
Burundi                         ,2019,11530577.0,223.9,173.1,2.783,1001.9
Burundi                         ,2020,11890781.0,233.8,175.1,2.943,1059.5
Cambodia                        ,2017,16009413.0,1385.3,1016.7,3.618,1302.5
Cambodia                        ,2018,16249795.0,1512.1,1068.8,3.706,1334.2
Cambodia                        ,2019,16486542.0,1643.1,1141.4,3.778,1360.1
Cambodia                        ,2020,16718971.0,1547.5,1075.6,3.888,1399.7
Cameroon                        ,2017,24566070.0,1469.4,1048.8,2.616,941.8
Cameroon                        ,2018,25216261.0,1585.2,1135.9,2.684,966.2
Cameroon                        ,2019,25876387.0,1533.1,1113.8,2.744,987.8
Cameroon                        ,2020,26545864.0,1537.1,1123.8,2.808,1010.9
Canada                          ,2017,36545236.0,45129.4,22204.025,2.863,1030.7
Canada                          ,2018,37065084.0,46548.6,22204.025,2.911,1048.0
Canada                          ,2019,37601230.0,46328.7,22204.025,2.918,1050.5
Canada                          ,2020,38037204.0,43258.3,22204.025,3.008,1082.9
Cayman Islands                  ,2017,63382.0,54367.0125,4079.8,2.928,1054.1
Cayman Islands                  ,2018,64172.0,54367.0125,4079.8,2.874,1034.6
Cayman Islands                  ,2019,64948.0,54367.0125,4079.8,2.714,977.0
Cayman Islands                  ,2020,65720.0,54367.0125,4079.8,2.765,995.4
Central African Republic        ,2017,4596023.0,450.9,374.0,3.423,1232.3
Central African Republic        ,2018,4666375.0,476.0,446.0,3.507,1262.5
Central African Republic        ,2019,4745179.0,468.1,449.8,3.57,1285.2
Central African Republic        ,2020,4829764.0,481.7,439.4,3.615,1301.4
Chad                            ,2017,15016761.0,665.9,533.8,2.831,1019.2
Chad                            ,2018,15477727.0,726.2,561.7,2.728,982.1
Chad                            ,2019,15946882.0,709.5,539.9,2.659,957.2
Chad                            ,2020,16425859.0,652.3,587.2,2.821,1015.6
Chile                           ,2017,18470435.0,14962.6,9288.5,3.053,1099.1
Chile                           ,2018,18729166.0,15772.3,9788.2,3.18,1144.8
Chile                           ,2019,18952035.0,14699.5,9051.9,3.213,1156.7
Chile                           ,2020,19116209.0,13220.6,7637.1,3.402,1224.7
China                           ,2017,74168669.625,8817.0,3398.3,2.571,925.6
China                           ,2018,74168669.625,9905.3,3815.7,2.63,946.8
China                           ,2019,74168669.625,10143.8,3981.3,2.792,1005.1
China                           ,2020,74168669.625,10408.7,3976.1,2.983,1073.9
Colombia                        ,2017,48909844.0,6376.7,4368.8,2.863,1030.7
Colombia                        ,2018,49661056.0,6729.6,4584.1,2.893,1041.5
Colombia                        ,2019,50339443.0,6418.6,4407.6,2.93,1054.8
Colombia                        ,2020,50882884.0,5312.2,3745.7,3.065,1103.4
Costa Rica                      ,2017,4949955.0,12225.6,7961.7,3.961,1426.0
Costa Rica                      ,2018,4999443.0,12485.4,8103.4,4.0,1440.0
Costa Rica                      ,2019,5047561.0,12762.1,8205.4,4.041,1454.8
Costa Rica                      ,2020,5094114.0,12201.9,7757.8,4.11,1479.6
Croatia                         ,2017,4124531.0,13629.3,7786.8,4.168,1500.5
Croatia                         ,2018,4087843.0,15227.6,8687.6,4.202,1512.7
Croatia                         ,2019,4065253.0,15311.8,8716.0,4.111,1480.0
Croatia                         ,2020,4047680.0,14132.5,8323.9,4.277,1539.7
Curacao                         ,2017,160175.0,18788.8,4079.8,2.866,1031.8
Curacao                         ,2018,159336.0,18956.1,4079.8,2.988,1075.7
Curacao                         ,2019,157441.0,19024.2,4079.8,3.144,1131.8
Curacao                         ,2020,154947.0,16109.9,4079.8,3.328,1198.1
Cyprus                          ,2017,1179685.0,26608.9,12591.9,2.846,1024.6
Cyprus                          ,2018,1189262.0,29334.1,13902.5,2.868,1032.5
Cyprus                          ,2019,1198574.0,29206.1,13609.9,2.836,1021.0
Cyprus                          ,2020,1207361.0,27681.6,12984.5,2.969,1068.8
Denmark                         ,2017,5764980.0,54367.0125,22204.025,2.376,855.4
Denmark                         ,2018,5793636.0,54367.0125,22204.025,2.44,878.4
Denmark                         ,2019,5814422.0,54367.0125,22204.025,2.432,875.5
Denmark                         ,2020,5831404.0,54367.0125,22204.025,2.544,915.8
Djibouti                        ,2017,944100.0,2926.2,1825.0,2.797,1006.9
Djibouti                        ,2018,958923.0,3038.3,1997.8,2.866,1031.8
Djibouti                        ,2019,973557.0,3172.8,2066.1,2.985,1074.6
Djibouti                        ,2020,988002.0,3219.7,1773.3,3.112,1120.3
Dominica                        ,2017,71460.0,7298.5,5812.6,4.0,1440.0
Dominica                        ,2018,71626.0,7745.4,6795.1,4.146,1492.6
Dominica                        ,2019,71808.0,8516.3,6303.85,4.236,1525.0
Dominica                        ,2020,71991.0,7003.9,6303.85,4.345,1564.2
Dominican Republic              ,2017,10513111.0,7609.4,5284.7,3.521,1267.6
Dominican Republic              ,2018,10627147.0,8050.6,5498.4,3.608,1298.9
Dominican Republic              ,2019,10738957.0,8282.1,5615.3,3.744,1347.8
Dominican Republic              ,2020,10847904.0,7268.2,5065.5,3.884,1398.2
Ecuador                         ,2017,16785356.0,6213.5,3722.2,2.788,1003.7
Ecuador                         ,2018,17084359.0,6295.9,3758.0,2.816,1013.8
Ecuador                         ,2019,17373657.0,6222.5,3712.3,2.861,1030.0
Ecuador                         ,2020,17643060.0,5627.8,3334.8,2.928,1054.1
Equatorial Guinea               ,2017,1262008.0,9667.9,4553.8,3.526,1269.4
Equatorial Guinea               ,2018,1308966.0,10005.6,4853.3,3.599,1295.6
Equatorial Guinea               ,2019,1355982.0,8380.7,4721.1,3.635,1308.6
Equatorial Guinea               ,2020,1402985.0,7198.3,4928.9,3.676,1323.4
Estonia                         ,2017,1317384.0,20437.8,10264.6,3.125,1125.0
Estonia                         ,2018,1321977.0,23063.6,11567.8,3.188,1147.7
Estonia                         ,2019,1326855.0,23397.9,11659.8,3.17,1141.2
Estonia                         ,2020,1329479.0,23054.4,11479.4,3.308,1190.9
Eswatini                        ,2017,1124808.0,3914.4,2566.9,3.428,1234.1
Eswatini                        ,2018,1136274.0,4107.1,2694.9,3.349,1205.6
Eswatini                        ,2019,1148133.0,3889.9,2500.5,3.395,1222.2
Eswatini                        ,2020,1160164.0,3434.7,2251.9,3.391,1220.8
Ethiopia                        ,2017,74168669.625,768.5,511.3,3.108,1118.9
Ethiopia                        ,2018,74168669.625,771.5,506.6,3.147,1132.9
Ethiopia                        ,2019,74168669.625,855.8,587.8,3.29,1184.4
Ethiopia                        ,2020,74168669.625,936.5,655.9,3.366,1211.8
Fiji                            ,2017,877460.0,6101.0,3721.7,3.612,1300.3
Fiji                            ,2018,883490.0,6317.4,3817.8,3.677,1323.7
Fiji                            ,2019,889955.0,6175.9,3806.2,3.858,1388.9
Fiji                            ,2020,896444.0,5102.8,3199.4,3.914,1409.0
Finland                         ,2017,5508214.0,46412.1,22204.025,2.545,916.2
Finland                         ,2018,5515525.0,49988.9,22204.025,2.624,944.6
Finland                         ,2019,5521606.0,48628.6,22204.025,2.611,940.0
Finland                         ,2020,5529543.0,49160.8,22204.025,2.712,976.3
France                          ,2017,66918020.0,38781.0,20935.7,2.936,1057.0
France                          ,2018,67101930.0,41592.8,22204.025,3.019,1086.8
France                          ,2019,67248926.0,40578.6,21753.9,3.067,1104.1
France                          ,2020,67379908.0,39037.1,20743.7,3.219,1158.8
Gabon                           ,2017,2064812.0,7230.4,2890.0,3.358,1208.9
Gabon                           ,2018,2119275.0,7959.0,3073.3,3.403,1225.1
Gabon                           ,2019,2172578.0,7767.0,2926.1,3.485,1254.6
Gabon                           ,2020,2225728.0,6881.7,2887.1,3.552,1278.7
Germany                         ,2017,74168669.625,44652.6,22204.025,2.786,1003.0
Germany                         ,2018,74168669.625,47973.6,22204.025,2.917,1050.1
